,amount,name,prediction
0,190.0,ContentSquare,0
1,110.0,Back Market,0
2,36.0,Abivax,1
3,16.0,Uromems,1
4,15.0,Agicap,0
5,15.0,Zeway,1
6,13.0,Lactips,1
7,11.6,La Belle Vie,0
8,11.2,NextProtein,1
9,10.0,Strapi,0
