,amount,name,prediction
0,38.0,Tiredeets.com,0
1,20.0,Proprioo,0
2,17.8,Early Birds,0
3,10.0,Mindsay,0
4,6.0,Brigad,0
5,5.0,Dawex,0
6,3.0,Sim&Cure,1
7,3.0,Enlaps,0
8,2.5,WAOUP,0
9,2.3,Airfree,0
