,amount,name,prediction
0,300.0,Mirakl,0
1,18.5,Descartes Underwriting,1
2,11.0,Antaios,0
3,10.0,Joone,0
4,8.7,Yomoni,0
5,7.5,Yooji,0
6,6.0,Medaviz,1
7,6.0,Imcheck Therapeutics,1
8,5.0,Supermood,0
9,5.0,Badakan,0
